id,sku,name,categoryId,description,tags,isSerialized,isLotManaged,shelfLifeDays,hazardousMaterial,isActive,createdAt
,PRI-ELE-0001,"Professional Sensor 0001",Electronics,"PrimeParts professional sensor for professional use","sensor,electronics",false,false,,false,true,
,UNI-COM-0002,"Eco-friendly Desktop PC 0002",Computers & Laptops,"UniSupply eco-friendly desktop pc for professional use","desktop-pc,computers-&-laptops",false,false,,false,true,
,SMA-SMA-0003,"Advanced Case 0003",Smartphones,"SmartChoice advanced case for professional use","case,smartphones",false,false,,false,true,
,COR-AUD-0004,"Eco-friendly Webcam 0004",Audio & Video,"CoreTech eco-friendly webcam for professional use","webcam,audio-&-video",false,false,,false,true,
,TEC-NET-0005,"Standard SFP Module 0005",Networking,"TechPro standard sfp module for professional use","sfp-module,networking",false,false,,false,true,
,PRO-OFF-0006,"Advanced Scissors 0006",Office Supplies,"ProMax advanced scissors for professional use","scissors,office-supplies",false,false,,false,true,
,GLO-PRI-0007,"Standard Fuser Kit 0007",Printers & Ink,"GlobalMart standard fuser kit for professional use","fuser-kit,printers-&-ink",false,false,,false,true,
,QUI-FUR-0008,"Heavy Duty Whiteboard 0008",Furniture,"QuickSupply heavy duty whiteboard for professional use","whiteboard,furniture",false,false,,false,true,
,TEC-CLO-0009,"High-performance T-Shirt 0009",Clothing & Apparel,"TechPro high-performance t-shirt for professional use","t-shirt,clothing-&-apparel",false,false,,false,true,
,SMA-MEN-0010,"Standard Men Suit 0010",Men's Clothing,"SmartChoice standard men suit for professional use","men-suit,men's-clothing",false,false,,false,true,
,PRI-WOM-0011,"Eco-friendly Women Skirt 0011",Women's Clothing,"PrimeParts eco-friendly women skirt for professional use","women-skirt,women's-clothing",false,false,,false,true,
,SMA-FOO-0012,"Eco-friendly Cereal Box 0012",Food & Beverages,"SmartChoice eco-friendly cereal box for professional use","cereal-box,food-&-beverages",false,true,186,false,true,
,UNI-BEV-0013,"High-performance Energy Drink 0013",Beverages,"UniSupply high-performance energy drink for professional use","energy-drink,beverages",false,true,113,false,true,
,COR-SNA-0014,"Advanced Popcorn 0014",Snacks,"CoreTech advanced popcorn for professional use","popcorn,snacks",false,true,563,false,true,
,MAX-TOO-0015,"Ultra Utility Knife 0015",Tools & Hardware,"MaxValue ultra utility knife for professional use","utility-knife,tools-&-hardware",false,false,,false,true,
,TEC-POW-0016,"Digital Air Compressor 0016",Power Tools,"TechPro digital air compressor for professional use","air-compressor,power-tools",false,false,,false,true,
,QUI-SAF-0017,"Advanced Safety Helmet 0017",Safety Equipment,"QuickSupply advanced safety helmet for professional use","safety-helmet,safety-equipment",false,false,,false,true,
,GLO-MED-0018,"Premium Face Mask 0018",Medical Supplies,"GlobalMart premium face mask for professional use","face-mask,medical-supplies",false,true,658,false,true,
,PRO-CLE-0019,"Wireless Mop Set 0019",Cleaning Products,"ProMax wireless mop set for professional use","mop-set,cleaning-products",false,false,,true,true,
,MAX-AUT-0020,"Smart Brake Pads 0020",Automotive,"MaxValue smart brake pads for professional use","brake-pads,automotive",false,false,,true,true,
,QUI-ELE-0021,"Advanced Cable 0021",Electronics,"QuickSupply advanced cable for professional use","cable,electronics",false,false,,false,true,
